user_id,total_spend,purchase_freq,fans_num,follow_num,age,gender,user_level,register_days,label,social_activity,cluster,cluster_name
U00000001,2675.46,9,0,30,18,0,1,1463,0.0,30,1,群体B
U00000002,3750.26,43,1,16,18,1,4,450,1.0,17,0,群体A
U00000003,801.8,5,0,41,36,1,7,801,1.0,41,1,群体B
U00000004,3903.82,33,8,65,20,1,4,243,1.0,73,0,群体A
U00000005,2856.42,12,0,9,23,0,6,609,1.0,9,1,群体B
U00000006,459.36,29,0,10,21,0,3,1023,0.0,10,0,群体A
U00000007,307.73,8,0,15,34,1,5,381,0.0,15,1,群体B
U00000008,1794.89,15,1,7,40,1,4,160,1.0,8,1,群体B
U00000009,716.64,11,0,1,27,1,2,318,0.0,1,1,群体B
U00000010,3751.25,6,0,30,23,1,2,480,0.0,30,1,群体B
U00000011,3163.16,4,0,3,25,0,5,591,1.0,3,1,群体B
U00000012,1620.89,21,1,61,34,1,2,1,0.0,62,2,群体C
U00000013,5065.71,9,0,6,31,1,5,736,1.0,6,1,群体B
U00000014,1109.12,7,1,5,24,1,6,241,0.0,6,1,群体B
U00000015,873.45,7,25,9,26,0,3,282,0.0,34,1,群体B
U00000016,4406.15,2,0,18,21,0,3,877,0.0,18,1,群体B
U00000017,2073.77,8,0,15,21,0,4,1024,0.0,15,1,群体B
U00000018,1384.15,7,0,14,18,0,6,494,0.0,14,1,群体B
U00000019,7074.83,5,1,5,36,0,1,1032,0.0,6,3,群体D
U00000020,461.76,7,0,4,18,0,6,907,1.0,4,1,群体B
U00000021,5088.34,4,0,7,29,0,2,1162,0.0,7,1,群体B
U00000022,6032.36,4,4,11,26,1,4,566,1.0,15,1,群体B
U00000023,864.93,27,0,17,26,0,5,533,1.0,17,0,群体A
U00000024,1443.64,21,0,15,22,0,4,702,0.0,15,0,群体A
U00000025,899.68,37,0,190,24,0,3,427,0.0,190,2,群体C
U00000026,689.79,7,2,42,41,1,2,534,1.0,44,1,群体B
U00000027,962.36,1,0,16,27,0,5,223,1.0,16,1,群体B
U00000028,4039.76,26,0,18,28,0,5,853,0.0,18,0,群体A
U00000029,1206.45,2,0,13,28,1,4,398,0.0,13,1,群体B
U00000030,3029.65,20,0,14,21,1,5,272,1.0,14,0,群体A
U00000031,2759.59,3,2,12,22,1,4,568,0.0,14,1,群体B
U00000032,2192.55,9,0,5,31,1,5,865,0.0,5,1,群体B
U00000033,2894.14,15,0,8,20,1,6,644,0.0,8,1,群体B
U00000034,1354.79,9,0,17,26,1,3,716,1.0,17,1,群体B
U00000035,2784.31,16,1,17,36,0,5,700,0.0,18,1,群体B
U00000036,2437.0,10,4,46,21,0,7,941,1.0,50,1,群体B
U00000037,572.66,4,0,3,26,0,3,319,1.0,3,1,群体B
U00000038,1009.27,1,0,3,24,1,6,395,1.0,3,1,群体B
U00000039,2191.27,33,0,27,31,1,4,434,0.0,27,0,群体A
U00000040,1263.58,13,0,31,28,0,1,494,1.0,31,1,群体B
U00000041,7474.17,3,0,37,21,0,3,25,0.0,37,3,群体D
U00000042,1568.84,38,0,3,22,1,6,350,0.0,3,0,群体A
U00000043,310.07,9,1,45,21,1,4,302,0.0,46,1,群体B
U00000044,1829.28,16,2,12,21,1,6,562,0.0,14,1,群体B
U00000045,5968.4,30,0,8,18,0,4,1,1.0,8,0,群体A
U00000046,1308.96,22,0,6,28,0,1,442,0.0,6,0,群体A
U00000047,988.13,22,0,52,21,1,5,1140,0.0,52,0,群体A
U00000048,2120.48,4,0,23,30,0,4,134,0.0,23,1,群体B
U00000049,820.85,9,1,12,27,1,1,741,0.0,13,1,群体B
U00000050,2035.16,16,0,24,23,0,3,469,0.0,24,1,群体B
U00000051,5266.26,17,3,3,23,0,2,571,0.0,6,1,群体B
U00000052,4125.48,18,3,7,18,0,4,927,0.0,10,1,群体B
U00000053,2142.43,5,1,32,28,1,3,787,0.0,33,1,群体B
U00000054,1680.01,24,0,8,26,1,3,562,0.0,8,0,群体A
U00000055,995.82,10,0,5,22,1,5,472,1.0,5,1,群体B
U00000056,632.2,4,0,4,18,1,6,331,1.0,4,1,群体B
U00000057,1537.54,2,0,5,25,1,7,524,0.0,5,1,群体B
U00000058,3152.72,16,0,1,25,1,3,659,1.0,1,1,群体B
U00000059,788.54,7,0,3,35,0,3,513,0.0,3,1,群体B
U00000060,929.82,7,0,24,27,1,4,327,1.0,24,1,群体B
U00000061,1289.91,8,6,4,36,0,3,272,0.0,10,1,群体B
U00000062,549.38,8,0,8,21,1,5,906,0.0,8,1,群体B
U00000063,307.72,11,0,7,24,0,4,19,1.0,7,1,群体B
U00000064,841.61,5,0,19,18,1,4,342,1.0,19,1,群体B
U00000065,495.14,18,0,48,24,1,7,852,1.0,48,1,群体B
U00000066,997.38,3,0,11,33,0,2,759,0.0,11,1,群体B
